Tag,Text,Href,Src,Value,Date-Time
a,Sweaters,https://www.snapdeal.com/products/men-apparel-sweaters?sort=plrty,,,
p,Thermals,,,,
a,Thermals,https://www.snapdeal.com/products/mens-winter-innerwear-thermals?sort=plrty,,,
p,Sportswear,,,,
a,Sportswear,https://www.snapdeal.com/products/men-apparel-sports-wear,,,
p,T-Shirts & Polos,,,,
a,T-Shirts & Polos,https://www.snapdeal.com/products/men-sports-tshirts-polos?sort=plrty,,,
p,Trackpants & Tracksuits,,,,
a,Trackpants & Tracksuits,https://www.snapdeal.com/products/men-apparel-trackpants-tracksuits?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/men-apparel-sports-wear?sort=plrty,,,
p,Men's Grooming,,,,
a,Men's Grooming,https://www.snapdeal.com/products/perfumes-beauty-mens-grooming,,,
p,Shaving Creams & Gels,,,,
a,Shaving Creams & Gels,https://www.snapdeal.com/products/shaving-foams-creams-gels,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,Eyewear,,,,
a,Eyewear,https://www.snapdeal.com/products/eyewear?sort=plrty&q=Gender_s%3AMen%20Only%5EUnisex%7C,,,
p,Sunglasses,,,,
a,Sunglasses,https://www.snapdeal.com/products/lifestyle-sunglasses?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/eyewear?sort=plrty&q=Gender_s%3AMen%20Only%5EUnisex%7C,,,
p,Watches,,,,
a,Watches,https://www.snapdeal.com/products/watches-men,,,
p,Jewellery & Cufflinks,,,,
a,Jewellery & Cufflinks,https://www.snapdeal.com/products/fashion-mens-jewellery?sort=plrty,,,
p,Accessories,,,,
a,Accessories,https://www.snapdeal.com/products/fashion-men,,,
p,Wallets,,,,
a,Wallets,https://www.snapdeal.com/products/mens-wallets?sort=plrty,,,
p,Belts,,,,
a,Belts,https://www.snapdeal.com/products/lifestyle-belts,,,
p,Hats & Caps,,,,
a,Hats & Caps,https://www.snapdeal.com/products/fashion-caps-hats?sort=plrty,,,
p,Gift Sets,,,,
a,Gift Sets,https://www.snapdeal.com/products/lifestyle-gift-sets,,,
p,Neckties & Cravats,,,,
a,Neckties & Cravats,https://www.snapdeal.com/products/lifestyle-necktie?sort=plrty,,,
p,Card Holders,,,,
a,Card Holders,https://www.snapdeal.com/products/mens-card-holder?sort=plrty,,,
p,Keychains,,,,
a,Keychains,https://www.snapdeal.com/products/fashion-keychains?sort=plrty,,,
p,Suspenders,,,,
a,Suspenders,https://www.snapdeal.com/products/fashion-suspenders,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/fashion-men,,,
p,Fragrances,,,,
a,Fragrances,https://www.snapdeal.com/products/fragrances-men,,,
p,Perfumes,,,,
a,Perfumes,https://www.snapdeal.com/products/perfumes-men,,,
p,Deodorants,,,,
a,Deodorants,https://www.snapdeal.com/products/perfumes-beauty-deodrants?sort=plrty,,,
p,Attars (Non-Alcoholic),,,,
a,Attars (Non-Alcoholic),https://www.snapdeal.com/products/perfumes-beauty-attar?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/fragrances-men?sort=plrty,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
a,,https://www.snapdeal.com/offers/fashion-diwali-2019,,,
img,,,,,
